Date,^GSPTSE
2015-01-02,14753.7001953125
2015-01-05,14392.7001953125
2015-01-06,14246.7998046875
2015-01-07,14285.0
2015-01-08,14457.7001953125
2015-01-09,14384.900390625
2015-01-12,14265.0
2015-01-13,14187.2001953125
2015-01-14,14084.400390625
2015-01-15,14041.7998046875
2015-01-16,14309.400390625
2015-01-19,14312.5
2015-01-20,14308.400390625
2015-01-21,14560.400390625
2015-01-22,14764.0
2015-01-23,14779.400390625
2015-01-26,14797.7998046875
2015-01-27,14833.900390625
2015-01-28,14602.900390625
2015-01-29,14637.2998046875
2015-01-30,14673.5
2015-02-02,14900.5
2015-02-03,15062.900390625
2015-02-04,14995.7001953125
2015-02-05,15124.900390625
2015-02-06,15083.900390625
2015-02-09,15100.7001953125
2015-02-10,15112.5
2015-02-11,15151.5
2015-02-12,15228.5
2015-02-13,15264.7998046875
2015-02-17,15284.599609375
2015-02-18,15212.7998046875
2015-02-19,15180.2998046875
2015-02-20,15172.2001953125
2015-02-23,15200.2998046875
2015-02-24,15165.0
2015-02-25,15228.599609375
2015-02-26,15241.2001953125
2015-02-27,15234.2998046875
2015-03-02,15264.099609375
2015-03-03,15133.900390625
2015-03-04,15082.7998046875
2015-03-05,15103.099609375
2015-03-06,14952.5
2015-03-09,14854.5
2015-03-10,14641.7998046875
2015-03-11,14739.2001953125
2015-03-12,14770.7001953125
2015-03-13,14731.5
2015-03-16,14862.7998046875
2015-03-17,14898.5
2015-03-18,14962.2001953125
2015-03-19,14873.900390625
2015-03-20,14942.400390625
2015-03-23,14957.2001953125
2015-03-24,15081.2998046875
2015-03-25,14929.400390625
2015-03-26,14869.7998046875
2015-03-27,14812.400390625
2015-03-30,14908.400390625
2015-03-31,14902.400390625
2015-04-01,14942.599609375
2015-04-02,15026.599609375
2015-04-06,15100.7001953125
2015-04-07,15188.7998046875
2015-04-08,15213.599609375
2015-04-09,15326.2998046875
2015-04-10,15388.400390625
2015-04-13,15383.599609375
2015-04-14,15389.2998046875
2015-04-15,15450.900390625
2015-04-16,15386.7998046875
2015-04-17,15360.599609375
2015-04-20,15412.599609375
2015-04-21,15346.400390625
2015-04-22,15304.7998046875
2015-04-23,15392.400390625
2015-04-24,15408.2998046875
2015-04-27,15344.099609375
2015-04-28,15346.099609375
2015-04-29,15347.2998046875
2015-04-30,15224.5
2015-05-01,15339.7998046875
2015-05-04,15367.5
2015-05-05,15173.900390625
2015-05-06,15023.900390625
2015-05-07,15088.7998046875
2015-05-08,15170.0
2015-05-11,15152.599609375
2015-05-12,15043.2001953125
2015-05-13,14980.7001953125
2015-05-14,15028.099609375
2015-05-15,15108.099609375
2015-05-19,15121.0
2015-05-20,15072.7998046875
2015-05-21,15203.599609375
2015-05-22,15200.7998046875
2015-05-25,15187.400390625
2015-05-26,15050.7998046875
2015-05-27,15110.5
2015-05-28,15107.0
2015-05-29,15014.099609375
2015-06-01,15074.099609375
2015-06-02,15104.7001953125
2015-06-03,15154.7001953125
2015-06-04,15019.400390625
2015-06-05,14957.2001953125
2015-06-08,14743.2998046875
2015-06-09,14817.7001953125
2015-06-10,14889.0
2015-06-11,14830.900390625
2015-06-12,14741.2001953125
2015-06-15,14756.099609375
2015-06-16,14753.099609375
2015-06-17,14733.0
2015-06-18,14770.599609375
2015-06-19,14653.099609375
2015-06-22,14790.5
2015-06-23,14904.900390625
2015-06-24,14947.5
2015-06-25,14897.5
2015-06-26,14808.099609375
2015-06-29,14490.2001953125
2015-06-30,14553.2998046875
2015-07-02,14638.0
2015-07-03,14682.400390625
2015-07-06,14593.599609375
2015-07-07,14624.5
2015-07-08,14412.099609375
2015-07-09,14278.5
2015-07-10,14411.099609375
2015-07-13,14533.2001953125
2015-07-14,14599.400390625
2015-07-15,14662.2998046875
2015-07-16,14731.099609375
2015-07-17,14642.7998046875
2015-07-20,14425.599609375
2015-07-21,14376.2001953125
2015-07-22,14307.099609375
2015-07-23,14265.400390625
2015-07-24,14186.2001953125
