Date,INX,TSX,NI225,SHA,SX5E,UKX,GOLD
2015-07-02,2076.780029296875,14638.0,20522.5,3912.76708984375,3463.25,6630.47,1163.0
2015-07-06,2068.760009765625,14593.599609375,20112.119140625,3775.912109375,3365.199951171875,6535.68,1172.9000244140625
2015-07-07,2081.340087890625,14624.5,20376.58984375,3727.125,3294.18994140625,6432.21,1152.4000244140625
2015-07-08,2046.6800537109373,14412.099609375,19737.640625,3507.19189453125,3327.5,6490.7,1163.300048828125
2015-07-09,2051.31005859375,14278.5,19855.5,3709.330078125,3420.030029296875,6581.63,1159.0
2015-07-10,2076.6201171875,14411.099609375,19779.830078125,3877.802978515625,3528.81005859375,6673.38,1157.699951171875
2015-07-13,2099.60009765625,14533.2001953125,20089.76953125,3970.387939453125,3590.429931640625,6737.95,1155.199951171875
2015-07-14,2108.949951171875,14599.400390625,20385.330078125,3924.487060546875,3607.18994140625,6753.75,1153.300048828125
2015-07-15,2107.39990234375,14662.2998046875,20463.330078125,3805.702880859375,3623.8701171875,6753.75,1147.199951171875
2015-07-16,2124.2900390625,14731.099609375,20600.119140625,3823.176025390625,3676.409912109375,6796.45,1143.800048828125
2015-07-17,2126.639892578125,14642.7998046875,20650.919921875,3957.35205078125,3670.340087890625,6775.08,1131.800048828125
2015-07-21,2119.2099609375,14376.2001953125,20841.970703125,4017.675048828125,3647.9599609375,6769.07,1103.4000244140623
2015-07-22,2114.14990234375,14307.099609375,20593.669921875,4026.044921875,3635.580078125,6667.34,1091.4000244140623
2015-07-23,2102.14990234375,14265.400390625,20683.94921875,4123.9228515625,3634.639892578125,6655.01,1094.0
2015-07-24,2079.64990234375,14186.2001953125,20544.529296875,4070.907958984375,3600.0,6579.81,1085.5999755859377
2015-07-27,2067.639892578125,14001.400390625,20350.099609375,3725.55810546875,3513.10009765625,6505.13,1096.5
2015-07-28,2093.25,14077.400390625,20328.890625,3663.001953125,3554.110107421875,6555.28,1096.300048828125
2015-07-29,2108.570068359375,14301.7998046875,20302.91015625,3789.16796875,3575.530029296875,6631.0,1092.699951171875
2015-07-30,2108.6298828125,14382.7998046875,20522.830078125,3705.76611328125,3583.7900390625,6668.87,1088.4000244140623
2015-07-31,2103.840087890625,14468.400390625,20585.240234375,3663.72607421875,3600.68994140625,6696.28,1094.9000244140623
2015-08-04,2093.320068359375,14491.099609375,20520.359375,3756.544921875,3619.31005859375,6686.57,1090.699951171875
2015-08-05,2099.840087890625,14503.0,20614.060546875,3694.572998046875,3676.75,6752.41,1085.699951171875
2015-08-06,2083.56005859375,14405.900390625,20664.439453125,3661.5390625,3668.469970703125,6747.09,1090.199951171875
2015-08-07,2077.570068359375,14302.7001953125,20724.560546875,3744.205078125,3637.800048828125,6718.49,1094.0999755859377
2015-08-10,2104.179931640625,14466.400390625,20808.689453125,3928.4150390625,3674.93994140625,6736.22,1104.199951171875
2015-08-12,2086.050048828125,14339.5,20392.76953125,3886.320068359375,3484.409912109375,6571.19,1123.199951171875
2015-08-17,2102.43994140625,14251.5,20620.259765625,3993.66796875,3497.89990234375,6550.3,1118.5999755859377
2015-08-19,2079.610107421875,14036.599609375,20222.630859375,3794.10888671875,3429.840087890625,6403.45,1128.0999755859375
2015-08-20,2035.72998046875,13737.0,20033.51953125,3664.291015625,3353.47998046875,6367.89,1153.0
2015-08-21,1970.8900146484373,13473.7001953125,19435.830078125,3507.743896484375,3247.260009765625,6187.65,1159.5999755859375
2015-08-24,1893.2099609375,13052.7001953125,18540.6796875,3209.905029296875,3073.389892578125,5898.87,1153.4000244140625
2015-08-25,1867.6099853515625,13150.900390625,17806.69921875,2964.967041015625,3218.010009765625,6081.34,1138.199951171875
2015-08-26,1940.510009765625,13381.599609375,18376.830078125,2927.2880859375,3170.72998046875,5979.2,1124.5999755859377
2015-08-27,1987.6600341796875,13766.7001953125,18574.439453125,3083.591064453125,3280.780029296875,6192.03,1122.4000244140623
2015-08-28,1988.8699951171875,13865.099609375,19136.3203125,3232.35009765625,3286.590087890625,6247.94,1133.0999755859375
