Date,Close
1/2/2015,861.23
1/5/2015,838.62
1/6/2015,831.13
1/7/2015,833.2
1/8/2015,845.47
1/9/2015,839.41
1/12/2015,833.74
1/13/2015,828.4
1/14/2015,821.63
1/15/2015,818.46
1/16/2015,834.29
1/19/2015,833.76
1/20/2015,834.84
1/21/2015,851.52
1/22/2015,864.46
1/23/2015,864.34
1/26/2015,865.18
1/27/2015,866.62
1/28/2015,854.81
1/29/2015,857.86
1/30/2015,857.34
2/2/2015,871.39
2/3/2015,878.97
2/4/2015,875.75
2/5/2015,883.1
2/6/2015,881.48
2/9/2015,880.77
2/10/2015,883.35
2/11/2015,886.16
2/12/2015,889.67
2/13/2015,890.22
2/17/2015,891.3
2/18/2015,886.47
2/19/2015,884.95
2/20/2015,885.06
2/23/2015,888.35
2/24/2015,886.38
2/25/2015,889.54
2/26/2015,891.41
2/27/2015,890.4
3/2/2015,892.57
3/3/2015,883.53
3/4/2015,880.39
3/5/2015,882.78
3/6/2015,874.51
3/9/2015,869.01
3/10/2015,856.39
3/11/2015,861.62
3/12/2015,863.86
3/13/2015,862.71
3/16/2015,871.7
3/17/2015,872.54
3/18/2015,874.74
3/19/2015,869.75
3/20/2015,872.81
3/23/2015,872.35
3/24/2015,880.3
3/25/2015,869.59
3/26/2015,865.38
3/27/2015,861.6
3/30/2015,869.44
3/31/2015,869.28
4/1/2015,870.76
4/2/2015,876.3
4/6/2015,877.9
4/7/2015,883.85
4/8/2015,886.77
4/9/2015,894.65
4/10/2015,898.35
4/13/2015,898.21
4/14/2015,898.07
4/15/2015,900.9
4/16/2015,896.6
4/17/2015,894.96
4/20/2015,899.33
4/21/2015,895.81
4/22/2015,894.22
4/23/2015,899.38
4/24/2015,900.22
4/27/2015,895.7
4/28/2015,895.88
4/29/2015,895.51
4/30/2015,886.56
5/1/2015,894.57
5/4/2015,895.49
5/5/2015,883.58
5/6/2015,875.06
5/7/2015,879.78
5/8/2015,884.09
5/11/2015,884.36
5/12/2015,876.65
5/13/2015,871.82
5/14/2015,874.82
5/15/2015,879.18
5/19/2015,881.16
5/20/2015,877.15
5/21/2015,886.91
5/22/2015,886.96
5/25/2015,886.11
5/26/2015,878.59
5/27/2015,882.7
5/28/2015,882.38
5/29/2015,875.04
6/1/2015,878.2
6/2/2015,879.51
6/3/2015,883.7
6/4/2015,876.16
6/5/2015,872.21
6/8/2015,858.47
6/9/2015,863.51
6/10/2015,866.62
6/11/2015,863.83
6/12/2015,857.66
6/15/2015,859.33
6/16/2015,859.13
6/17/2015,857.49
6/18/2015,859.52
6/19/2015,852.36
6/22/2015,860.85
6/23/2015,868.28
6/24/2015,870.95
6/25/2015,867.96
6/26/2015,863.45
6/29/2015,844.33
6/30/2015,847.78
7/2/2015,853.19
7/3/2015,856.61
7/6/2015,851.82
7/7/2015,854.28
7/8/2015,841.9
7/9/2015,834.13
7/10/2015,842.74
7/13/2015,850.07
7/14/2015,852.7
7/15/2015,858.58
7/16/2015,863.48
7/17/2015,858.94
7/20/2015,847.63
7/21/2015,843.52
7/22/2015,840.23
7/23/2015,839.66
7/24/2015,835.31
7/27/2015,826.62
7/28/2015,829.95
7/29/2015,842.15
7/30/2015,848.03
7/31/2015,853.4
8/4/2015,855.47
8/5/2015,857.68
8/6/2015,851.25
8/7/2015,845.83
8/10/2015,853.85
8/11/2015,850.3
8/12/2015,844.43
8/13/2015,839.42
8/14/2015,842.16
8/17/2015,840.63
8/18/2015,837.14
8/19/2015,828.34
8/20/2015,808.93
8/21/2015,794.65
8/24/2015,770.29
8/25/2015,775.54
8/26/2015,789.87
8/27/2015,813.18
8/28/2015,817.04
8/31/2015,815.45
9/1/2015,792.19
9/2/2015,797.17
9/3/2015,800.03
9/4/2015,792.56
9/8/2015,802.41
9/9/2015,797.69
9/10/2015,799.99
9/11/2015,793.2
9/14/2015,787.19
9/15/2015,793.57
9/16/2015,811.31
9/17/2015,812.13
9/18/2015,803.73
9/21/2015,811.47
9/22/2015,792.44
9/23/2015,786.03
9/24/2015,783.83
9/25/2015,786.39
9/28/2015,763.96
9/29/2015,767
9/30/2015,784.51
10/1/2015,780.41
10/2/2015,784.44
10/5/2015,794.23
10/6/2015,800.12
10/7/2015,813.55
10/8/2015,819.87
10/9/2015,818.49
10/13/2015,811.43
10/14/2015,813.85
10/15/2015,810.83
10/16/2015,813.6
10/19/2015,808.77
10/20/2015,813.35
10/21/2015,805.26
10/22/2015,815.05
10/23/2015,819.92
10/26/2015,811.87
10/27/2015,808.2
10/28/2015,818.46
10/29/2015,814.1
10/30/2015,794.49
11/2/2015,800.44
11/3/2015,804.91
11/4/2015,802.92
11/5/2015,794.97
11/6/2015,795.18
11/9/2015,790.83
11/10/2015,787.1
11/11/2015,783.43
11/12/2015,770.61
11/13/2015,766.76
11/16/2015,781.26
11/17/2015,779.4
11/18/2015,787
11/19/2015,792.68
11/20/2015,790.68
11/23/2015,786.53
11/24/2015,787.64
11/25/2015,787.12
11/26/2015,788.64
11/27/2015,784.52
11/30/2015,791.8
12/1/2015,802.96
12/2/2015,792.93
12/3/2015,784.38
12/4/2015,786.74
12/7/2015,768.54
12/8/2015,760.81
12/9/2015,762.8
12/10/2015,766.76
12/11/2015,753.11
12/14/2015,749.53
12/15/2015,763.55
12/16/2015,778.34
12/17/2015,767.25
12/18/2015,767.24
12/21/2015,767.97
12/22/2015,771.08
12/23/2015,783.07
12/24/2015,784.16
12/29/2015,779.82
12/30/2015,773.5
12/31/2015,764.54
1/4/2016,758.36
1/5/2016,758
1/6/2016,746.31
1/7/2016,730.36
1/8/2016,729.86
1/11/2016,723.44
1/12/2016,728.17
1/13/2016,715.21
1/14/2016,726.1
1/15/2016,709.12
1/18/2016,703.69
1/19/2016,706.58
1/20/2016,695.03
1/21/2016,706.83
1/22/2016,727.8
1/25/2016,713.28
1/26/2016,724.15
1/27/2016,727.4
1/28/2016,741.32
1/29/2016,754.85
2/1/2016,745.53
2/2/2016,731.7
2/3/2016,740.22
2/4/2016,752.18
2/5/2016,752.04
2/8/2016,738.81
2/9/2016,723.8
2/10/2016,716.97
2/11/2016,710.42
2/12/2016,729.46
2/16/2016,739.68
2/17/2016,757.82
2/18/2016,761.59
2/19/2016,753.54
2/22/2016,754.45
2/23/2016,750.69
2/24/2016,747.86
2/25/2016,748.98
2/26/2016,751.93
2/29/2016,755.27
3/1/2016,762.53
3/2/2016,762.9
3/3/2016,768.14
3/4/2016,772.63
3/7/2016,783.08
3/8/2016,780.82
3/9/2016,786.21
3/10/2016,784.84
3/11/2016,794.08
3/14/2016,792.41
3/15/2016,788.23
3/16/2016,791.45
3/17/2016,799.49
3/18/2016,791.35
3/21/2016,795.43
3/22/2016,790.99
3/23/2016,785.65
3/24/2016,784.45
3/28/2016,786.78
3/29/2016,787.72
3/30/2016,792.46
3/31/2016,790.93
4/1/2016,787.45
4/4/2016,781.39
4/5/2016,779.1
4/6/2016,781.45
4/7/2016,776.51
4/8/2016,784.58
4/11/2016,785
4/12/2016,795.38
4/13/2016,800.78
4/14/2016,801.45
4/15/2016,798.94
4/18/2016,803.22
4/19/2016,811.92
4/20/2016,815.29
4/21/2016,812.74
4/22/2016,812.27
4/25/2016,807.82
4/26/2016,808.17
4/27/2016,812.03
4/28/2016,811.78
4/29/2016,815.46
5/2/2016,810.21
5/3/2016,801.69
5/4/2016,796.95
5/5/2016,795.84
5/6/2016,799.03
5/9/2016,790.85
5/10/2016,804.03
5/11/2016,803.54
5/12/2016,803.35
5/13/2016,801.16
5/16/2016,809.75
5/17/2016,811.23
5/18/2016,807.61
5/19/2016,805.86
5/20/2016,812.64
5/24/2016,815.58
5/25/2016,821.33
5/26/2016,821.38
5/27/2016,824.87
5/30/2016,823.92
5/31/2016,821.06
6/1/2016,821
6/2/2016,825.94
6/3/2016,830.37
6/6/2016,832.81
6/7/2016,838.27
6/8/2016,833.54
6/9/2016,828.62
6/10/2016,816.76
6/13/2016,814.71
6/14/2016,808.05
6/15/2016,809.57
6/16/2016,807.93
6/17/2016,809.88
6/20/2016,814.92
6/21/2016,815.7
6/22/2016,815.7
6/23/2016,824.18
6/24/2016,808.55
6/27/2016,796.31
6/28/2016,805.84
6/29/2016,816.56
6/30/2016,817.65
7/4/2016,829.1
7/5/2016,826.56
7/6/2016,826.29
7/7/2016,820.76
7/8/2016,827.27
7/11/2016,834.08
7/12/2016,841.86
7/13/2016,843.1
7/14/2016,844.8
7/15/2016,843.73
7/18/2016,846.53
7/19/2016,846.03
7/20/2016,847.36
7/21/2016,848.02
7/22/2016,850.34
7/25/2016,844.49
7/26/2016,847.45
7/27/2016,846.4
7/28/2016,846.88
7/29/2016,847.4
8/2/2016,840.22
8/3/2016,843.09
8/4/2016,841.99
8/5/2016,850.09
8/8/2016,856.47
8/9/2016,860.74
8/10/2016,858.88
8/11/2016,860.59
8/12/2016,857.5
8/15/2016,859.01
8/16/2016,854.28
8/17/2016,854.36
8/18/2016,853.61
8/19/2016,853.72
8/22/2016,858.27
8/23/2016,860.07
8/24/2016,852.91
8/25/2016,852.65
8/26/2016,853.2
8/29/2016,856.3
8/30/2016,857.5
8/31/2016,851.38
9/1/2016,855.6
9/2/2016,861.56
9/6/2016,861.12
9/7/2016,860.57
9/8/2016,860.3
9/9/2016,846.51
9/12/2016,849.64
9/13/2016,834.71
9/14/2016,835.9
9/15/2016,845.4
9/16/2016,843.08
9/19/2016,844.78
9/20/2016,845.81
9/21/2016,856.01
9/22/2016,860.96
9/23/2016,856.02
9/26/2016,851.45
9/27/2016,848.54
9/28/2016,858.46
9/29/2016,860.04
9/30/2016,858.47
10/3/2016,856.31
10/4/2016,848.63
10/5/2016,853.7
10/6/2016,853
10/7/2016,851
10/11/2016,851.07
10/12/2016,854.32
10/13/2016,856.02
10/14/2016,852.14
10/17/2016,852.52
10/18/2016,861.79
10/19/2016,866.77
10/20/2016,867.12
10/21/2016,872.69
10/24/2016,872.75
10/25/2016,869.73
10/26/2016,868.35
10/27/2016,871.7
10/28/2016,868.61
10/31/2016,868.38
11/1/2016,867.29
11/2/2016,857.55
11/3/2016,856.45
11/4/2016,851.86
11/7/2016,861.32
11/8/2016,862.06
11/9/2016,868.25
11/10/2016,869.09
11/11/2016,858.9
11/14/2016,861.38
11/15/2016,870
11/16/2016,869.41
11/17/2016,875.91
11/18/2016,878.27
11/21/2016,888.35
11/22/2016,891.13
11/23/2016,890.54
11/24/2016,890.08
11/25/2016,891.18
11/28/2016,886.55
11/29/2016,885.59
11/30/2016,888.3
12/1/2016,884.28
12/2/2016,885.84
12/5/2016,887.94
12/6/2016,890.52
12/7/2016,897.88
12/8/2016,901.21
12/9/2016,902.92
12/12/2016,901.35
12/13/2016,907.71
12/14/2016,897.14
12/15/2016,900.44
12/16/2016,902.24
12/19/2016,903.45
12/20/2016,904.24
12/21/2016,903.97
12/22/2016,906.68
12/23/2016,905.69
12/28/2016,906.78
12/29/2016,908.74
12/30/2016,900.05
1/3/2017,907.58
1/4/2017,914.42
1/5/2017,917.93
1/6/2017,913.69
1/9/2017,907.9
1/10/2017,910.06
1/11/2017,915.21
1/12/2017,911.4
1/13/2017,916.37
1/16/2017,915.33
1/17/2017,912.52
1/18/2017,910.85
1/19/2017,911.75
1/20/2017,921.12
1/23/2017,916.79
1/24/2017,924.13
1/25/2017,924.85
1/26/2017,923.5
1/27/2017,920.6
1/30/2017,911.24
1/31/2017,909.19
2/1/2017,909.15
2/2/2017,908.52
2/3/2017,913.38
2/6/2017,911.1
2/7/2017,914.36
2/8/2017,917.19
2/9/2017,921.55
2/10/2017,927.38
2/13/2017,929.68
2/14/2017,931.38
2/15/2017,934.69
2/16/2017,935.33
2/17/2017,934.58
2/21/2017,939.38
2/22/2017,933.96
2/23/2017,930.08
2/24/2017,914.95
2/27/2017,912.41
2/28/2017,907.57
3/1/2017,918.67
3/2/2017,917.35
3/3/2017,921.79
3/6/2017,924.7
3/7/2017,923.78
3/8/2017,917.53
3/9/2017,918.35
3/10/2017,916.7
3/13/2017,918.32
3/14/2017,908.56
3/15/2017,914.82
3/16/2017,917.93
3/17/2017,913.74
3/20/2017,909.9
3/21/2017,902.07
3/22/2017,905.16
3/23/2017,910.28
3/24/2017,910.73
3/27/2017,914.34
3/28/2017,920.39
3/29/2017,923.24
3/30/2017,918.18
3/31/2017,915.58
4/3/2017,918.21
4/4/2017,922.92
4/5/2017,921.55
4/6/2017,925.09
4/7/2017,923.12
4/10/2017,926.53
4/11/2017,925.19
4/12/2017,920.27
4/13/2017,913.81
4/17/2017,924.03
4/18/2017,919.27
4/19/2017,915.54
4/20/2017,921.16
4/21/2017,920.26
4/24/2017,928.3
4/25/2017,930.54
4/26/2017,924.79
4/27/2017,914.34
4/28/2017,918.9
5/1/2017,917.55
5/2/2017,920.63
5/3/2017,916.77
5/4/2017,909.21
5/5/2017,920.6
5/8/2017,924.84
5/9/2017,919.65
5/10/2017,922.74
5/11/2017,917.21
5/12/2017,917.02
5/15/2017,922.56
5/16/2017,915.88
5/17/2017,898.89
5/18/2017,900.21
5/19/2017,910.58
5/23/2017,912.45
5/24/2017,908.33
5/25/2017,908.75
5/26/2017,909.27
5/29/2017,909.58
5/30/2017,907.53
5/31/2017,906.38
6/1/2017,913
6/2/2017,911.21
6/5/2017,909.08
6/6/2017,911
6/7/2017,905.22
6/8/2017,908.58
6/9/2017,912.52
6/12/2017,905.96
6/13/2017,904.86
6/14/2017,893.04
6/15/2017,893.88
6/16/2017,896.14
6/19/2017,900.27
6/20/2017,892.84
6/21/2017,892.83
6/22/2017,896.37
6/23/2017,901.46
6/26/2017,901.88
6/27/2017,900.37
6/28/2017,904.32
6/29/2017,895.85
6/30/2017,892.65
7/4/2017,890.09
7/5/2017,892.43
7/6/2017,889.04
7/7/2017,886.36
7/10/2017,890.44
7/11/2017,892.96
7/12/2017,892.18
7/13/2017,892.31
7/14/2017,894.79
7/17/2017,894.08
7/18/2017,893.04
7/19/2017,898.57
7/20/2017,900.84
7/21/2017,895.9
7/24/2017,892.07
7/25/2017,895.82
7/26/2017,892.41
7/27/2017,894.12
7/28/2017,889.43
7/31/2017,891.19
8/1/2017,894.49
8/2/2017,899.89
8/3/2017,896.47
8/4/2017,900.63
8/8/2017,900.8
8/9/2017,898.31
8/10/2017,889.51
8/11/2017,886.38
8/14/2017,892.97
8/15/2017,891.31
8/16/2017,889.1
8/17/2017,886.25
8/18/2017,881.09
8/21/2017,881.02
8/22/2017,882.74
8/23/2017,887.38
8/24/2017,887.75
8/25/2017,886.34
8/28/2017,885.38
8/29/2017,886.72
8/30/2017,888.98
8/31/2017,892.56
9/1/2017,891.24
9/5/2017,884.07
9/6/2017,882.71
9/7/2017,880.15
9/8/2017,879.31
9/11/2017,883.26
9/12/2017,889.27
9/13/2017,887.92
9/14/2017,890.39
9/15/2017,890.96
9/18/2017,895.28
9/19/2017,898.99
9/20/2017,904.89
9/21/2017,909.29
9/22/2017,908.48
9/25/2017,912.37
9/26/2017,909.98
9/27/2017,919.6
9/28/2017,919.89
9/29/2017,921.79
10/2/2017,925.59
10/3/2017,927.38
10/4/2017,927.27
10/5/2017,930.28
10/6/2017,926.97
10/10/2017,930.04
10/11/2017,931.53
10/12/2017,928.03
10/13/2017,932.36
10/16/2017,932.28
10/17/2017,933.98
10/18/2017,931.94
10/19/2017,934.93
10/20/2017,937.03
10/23/2017,937.01
10/24/2017,940.56
10/25/2017,938.04
10/26/2017,940.48
10/27/2017,943.78
10/30/2017,945.71
10/31/2017,947.17
11/1/2017,946.72
11/2/2017,946.16
11/3/2017,946.81
11/6/2017,950.15
11/7/2017,953.35
11/8/2017,951.86
11/9/2017,951.03
11/10/2017,949.22
11/13/2017,949.28
11/14/2017,943.28
11/15/2017,941.71
11/16/2017,944.77
11/17/2017,947.86
11/20/2017,948.84
11/21/2017,952.98
11/22/2017,952.14
11/23/2017,951.94
11/24/2017,954.14
11/27/2017,950.63
11/28/2017,950.21
11/29/2017,947.14
11/30/2017,952.05
12/1/2017,951.76
12/4/2017,948.01
12/5/2017,945.32
12/6/2017,946.55
12/7/2017,954.24
12/8/2017,958.44
12/11/2017,958.24
12/12/2017,959.2
12/13/2017,959.73
12/14/2017,951.45
12/15/2017,953.69
12/18/2017,958.65
12/19/2017,958.2
12/20/2017,958.87
12/21/2017,960.53
12/22/2017,958.79
12/27/2017,959.92
12/28/2017,960.61
12/29/2017,959.7
1/2/2018,965.28
1/3/2018,970.17
1/4/2018,974.34
1/5/2018,970.65
1/8/2018,968.16
1/9/2018,968.79
1/10/2018,963.7
1/11/2018,966.66
1/12/2018,967.37
1/15/2018,969.96
1/16/2018,966.22
1/17/2018,967.63
1/18/2018,966.08
1/19/2018,969.6
1/22/2018,968.64
1/23/2018,968.24
1/24/2018,962.81
1/25/2018,958.04
1/26/2018,959.77
1/29/2018,952.05
1/30/2018,945.33
1/31/2018,944.41
2/1/2018,939.2
2/2/2018,924.84
2/5/2018,906.7
2/6/2018,908.72
2/7/2018,906.87
2/8/2018,890.13
2/9/2018,889.2
2/12/2018,900.68
2/13/2018,899.64
2/14/2018,905.13
2/15/2018,909.86
2/16/2018,913.02
2/20/2018,911.85
2/21/2018,918.59
2/22/2018,917.93
2/23/2018,926.42
2/26/2018,930.98
2/27/2018,929.09
2/28/2018,913.9
3/1/2018,910.96
3/2/2018,909.67
3/5/2018,919.77
3/6/2018,919.37
3/7/2018,915.69
3/8/2018,919.12
3/9/2018,921.64
3/12/2018,923.47
3/13/2018,926.65
3/14/2018,927.55
3/15/2018,929
3/16/2018,931.38
3/19/2018,922.97
3/20/2018,923.47
3/21/2018,926.29
3/22/2018,908.96
3/23/2018,897.35
3/26/2018,903.1
3/27/2018,899.25
3/28/2018,897.17
3/29/2018,908.99
4/2/2018,899.06
4/3/2018,897.1
4/4/2018,896.39
4/5/2018,907.82
4/6/2018,898.46
4/9/2018,900.37
4/10/2018,900.89
4/11/2018,899.57
4/12/2018,900.23
4/13/2018,899.99
4/16/2018,901.87
4/17/2018,904.19
4/18/2018,914.67
4/19/2018,909.47
4/20/2018,911.68
4/23/2018,916.49
4/24/2018,911.51
4/25/2018,915.07
4/26/2018,923.48
4/27/2018,925.87
4/30/2018,921.43
5/1/2018,922.58
5/2/2018,922.76
5/3/2018,922.48
5/4/2018,929.73
5/7/2018,934.84
5/8/2018,937.48
5/9/2018,942.22
5/10/2018,944.7
5/11/2018,947.69
5/14/2018,954.67
5/15/2018,955.55
5/16/2018,956.42
5/17/2018,957.94
5/18/2018,957.85
5/22/2018,956.67
5/23/2018,955.62
5/24/2018,954.06
5/25/2018,952.05
5/28/2018,948.45
5/29/2018,941.8
5/30/2018,949.07
5/31/2018,950.45
6/1/2018,948.6
6/4/2018,948.89
6/5/2018,952.13
6/6/2018,955.86
6/7/2018,956.31
6/8/2018,957.39
6/11/2018,962.25
6/12/2018,962.57
6/13/2018,962.13
6/14/2018,965.82
6/15/2018,964.45
6/18/2018,967.96
6/19/2018,963.39
6/20/2018,970.62
6/21/2018,965.71
6/22/2018,973.88
6/25/2018,957.71
6/26/2018,964.76
6/27/2018,962.17
6/28/2018,958.85
6/29/2018,965.32
7/3/2018,962.5
7/4/2018,964.53
7/5/2018,962.48
7/6/2018,969.63
7/9/2018,974.58
7/10/2018,981.25
7/11/2018,973.65
7/12/2018,983.44
7/13/2018,983.33
7/16/2018,979.68
7/17/2018,980.48
7/18/2018,977.6
7/19/2018,982.78
7/20/2018,976.45
7/23/2018,975.41
7/24/2018,974.47
7/25/2018,975.71
7/26/2018,977.84
7/27/2018,974.92
7/30/2018,973.6
7/31/2018,979.38
8/1/2018,974.63
8/2/2018,976.42
8/3/2018,976.49
8/7/2018,969.05
8/8/2018,971.11
8/9/2018,978.28
8/10/2018,971.63
8/13/2018,968.61
8/14/2018,974.75
8/15/2018,962.23
8/16/2018,967.71
8/17/2018,973.98
8/20/2018,972.96
8/21/2018,969.14
8/22/2018,971.79
8/23/2018,971.34
8/24/2018,971.53
8/27/2018,976.18
8/28/2018,971.34
8/29/2018,973.23
8/30/2018,973.51
8/31/2018,965.73
9/4/2018,960.07
9/5/2018,960.69
9/6/2018,958.53
9/7/2018,956.49
9/10/2018,953.82
9/11/2018,954.75
9/12/2018,949.88
9/13/2018,948.52
9/14/2018,948.84
9/17/2018,953.38
9/18/2018,960.14
9/19/2018,957.42
9/20/2018,960.95
9/21/2018,962.34
9/24/2018,960.01
