Date,Close
1/5/2015,0.07
1/6/2015,0.07
1/7/2015,0.07
1/8/2015,0.06
1/12/2015,0.07
1/13/2015,0.07
1/14/2015,0.08
1/15/2015,0.08
1/16/2015,0.07
1/19/2015,0.07
1/20/2015,0.06
1/21/2015,0.07
1/22/2015,0.06
1/23/2015,0.07
1/26/2015,0.06
1/27/2015,0.06
1/28/2015,0.06
1/29/2015,0.06
1/30/2015,0.06
2/2/2015,0.06
2/3/2015,0.06
2/4/2015,0.05
2/6/2015,0.05
2/10/2015,0.05
2/12/2015,0.05
2/13/2015,0.05
2/17/2015,0.04
2/18/2015,0.05
2/19/2015,0.04
2/20/2015,0.04
2/23/2015,0.04
2/24/2015,0.05
2/25/2015,0.04
2/26/2015,0.04
2/27/2015,0.04
3/4/2015,0.04
3/5/2015,0.04
3/6/2015,0.05
3/9/2015,0.04
3/10/2015,0.04
3/11/2015,0.07
3/12/2015,0.07
3/13/2015,0.07
3/16/2015,0.06
3/17/2015,0.06
3/18/2015,0.06
3/19/2015,0.06
3/20/2015,0.06
3/23/2015,0.06
3/24/2015,0.06
3/25/2015,0.06
3/26/2015,0.06
3/27/2015,0.06
3/30/2015,0.06
3/31/2015,0.07
4/1/2015,0.07
4/2/2015,0.07
4/6/2015,0.08
4/7/2015,0.08
4/8/2015,0.09
4/9/2015,0.08
4/10/2015,0.09
4/13/2015,0.09
4/14/2015,0.09
4/15/2015,0.09
4/16/2015,0.1
4/17/2015,0.1
4/20/2015,0.09
4/21/2015,0.08
4/22/2015,0.08
4/23/2015,0.08
4/24/2015,0.08
4/27/2015,0.08
4/28/2015,0.08
4/29/2015,0.07
4/30/2015,0.08
5/1/2015,0.08
5/4/2015,0.08
5/5/2015,0.08
5/6/2015,0.08
5/7/2015,0.07
5/8/2015,0.09
5/11/2015,0.08
5/12/2015,0.09
5/13/2015,0.08
5/14/2015,0.08
5/15/2015,0.08
5/19/2015,0.09
5/20/2015,0.09
5/21/2015,0.08
5/22/2015,0.08
5/25/2015,0.08
5/26/2015,0.08
5/27/2015,0.08
5/28/2015,0.1
5/29/2015,0.09
6/1/2015,0.09
6/2/2015,0.09
6/3/2015,0.09
6/4/2015,0.08
6/5/2015,0.09
6/8/2015,0.1
6/9/2015,0.1
6/10/2015,0.1
6/11/2015,0.1
6/12/2015,0.1
6/15/2015,0.1
6/16/2015,0.1
6/17/2015,0.1
6/18/2015,0.1
6/19/2015,0.1
6/23/2015,0.1
6/24/2015,0.09
6/25/2015,0.1
6/26/2015,0.09
6/29/2015,0.08
6/30/2015,0.08
7/2/2015,0.08
7/3/2015,0.08
7/6/2015,0.08
7/7/2015,0.07
7/8/2015,0.07
7/9/2015,0.06
7/10/2015,0.07
7/13/2015,0.07
7/14/2015,0.07
7/15/2015,0.07
7/16/2015,0.07
7/17/2015,0.07
7/20/2015,0.08
7/21/2015,0.09
7/22/2015,0.09
7/23/2015,0.08
7/24/2015,0.09
7/27/2015,0.08
7/28/2015,0.08
7/29/2015,0.09
7/30/2015,0.09
7/31/2015,0.1
8/4/2015,0.1
8/5/2015,0.09
8/6/2015,0.08
8/7/2015,0.1
8/10/2015,0.09
8/11/2015,0.09
8/12/2015,0.09
8/13/2015,0.09
8/14/2015,0.09
8/17/2015,0.09
8/18/2015,0.09
8/19/2015,0.09
8/20/2015,0.08
8/21/2015,0.09
8/24/2015,0.08
8/25/2015,0.07
8/26/2015,0.08
8/27/2015,0.08
8/28/2015,0.08
8/31/2015,0.09
9/1/2015,0.08
9/2/2015,0.08
9/3/2015,0.09
9/4/2015,0.09
9/8/2015,0.11
9/9/2015,0.1
9/10/2015,0.12
9/11/2015,0.12
9/14/2015,0.13
9/15/2015,0.14
9/16/2015,0.12
9/17/2015,0.12
9/18/2015,0.12
9/21/2015,0.11
9/22/2015,0.12
9/23/2015,0.11
9/24/2015,0.12
9/25/2015,0.12
9/28/2015,0.11
9/29/2015,0.11
9/30/2015,0.11
10/1/2015,0.12
10/2/2015,0.12
10/5/2015,0.13
10/6/2015,0.14
10/7/2015,0.14
10/8/2015,0.13
10/9/2015,0.14
10/13/2015,0.14
10/14/2015,0.13
10/15/2015,0.13
10/16/2015,0.13
10/19/2015,0.13
10/20/2015,0.13
10/21/2015,0.13
10/22/2015,0.13
10/23/2015,0.13
10/26/2015,0.13
10/27/2015,0.13
10/28/2015,0.13
10/29/2015,0.13
10/30/2015,0.13
11/2/2015,0.12
11/3/2015,0.12
11/4/2015,0.12
11/5/2015,0.12
11/6/2015,0.11
11/9/2015,0.11
11/10/2015,0.11
11/11/2015,0.13
11/12/2015,0.12
11/13/2015,0.12
11/16/2015,0.13
11/17/2015,0.12
11/18/2015,0.12
11/19/2015,0.12
11/20/2015,0.11
11/23/2015,0.11
11/24/2015,0.11
11/25/2015,0.11
11/26/2015,0.1
11/27/2015,0.11
11/30/2015,0.12
12/1/2015,0.14
12/2/2015,0.13
12/3/2015,0.12
12/4/2015,0.12
12/7/2015,0.12
12/8/2015,0.11
12/9/2015,0.11
12/10/2015,0.12
12/11/2015,0.12
12/14/2015,0.12
12/15/2015,0.12
12/16/2015,0.13
12/17/2015,0.13
12/18/2015,0.14
12/21/2015,0.14
12/22/2015,0.14
