Date,GC=F
2015-01-02,1186.0
2015-01-05,1203.9000244140625
2015-01-06,1219.300048828125
2015-01-07,1210.5999755859375
2015-01-08,1208.4000244140625
2015-01-09,1216.0
2015-01-12,1232.699951171875
2015-01-13,1234.300048828125
2015-01-14,1234.4000244140625
2015-01-15,1264.699951171875
2015-01-16,1276.9000244140625
2015-01-20,1294.199951171875
2015-01-21,1293.699951171875
2015-01-22,1300.699951171875
2015-01-23,1292.5999755859375
2015-01-26,1279.4000244140625
2015-01-27,1291.699951171875
2015-01-28,1285.9000244140625
2015-01-29,1254.5999755859375
2015-01-30,1278.5
2015-02-02,1276.199951171875
2015-02-03,1259.699951171875
2015-02-04,1263.800048828125
2015-02-05,1262.0
2015-02-06,1233.9000244140625
2015-02-09,1240.800048828125
2015-02-10,1231.5999755859375
2015-02-11,1219.0
2015-02-12,1220.0999755859375
2015-02-13,1226.5
2015-02-17,1208.0999755859375
2015-02-18,1199.699951171875
2015-02-19,1207.0999755859375
2015-02-20,1204.4000244140625
2015-02-23,1200.300048828125
2015-02-24,1196.9000244140625
2015-02-25,1201.0
2015-02-26,1209.5999755859375
2015-02-27,1212.5999755859375
2015-03-02,1207.699951171875
2015-03-03,1204.0
2015-03-04,1200.5999755859375
2015-03-05,1195.9000244140625
2015-03-06,1164.0999755859375
2015-03-09,1166.4000244140625
2015-03-10,1160.0999755859375
2015-03-11,1150.699951171875
2015-03-12,1152.0999755859375
2015-03-13,1152.5999755859375
2015-03-16,1153.300048828125
2015-03-17,1148.300048828125
2015-03-18,1151.4000244140625
2015-03-19,1169.0999755859375
2015-03-20,1184.800048828125
2015-03-23,1188.0
2015-03-24,1191.699951171875
2015-03-25,1197.300048828125
2015-03-26,1205.0999755859375
2015-03-27,1199.800048828125
2015-03-30,1184.800048828125
2015-03-31,1183.0999755859375
2015-04-01,1208.0999755859375
2015-04-02,1200.9000244140625
2015-04-06,1218.5999755859375
2015-04-07,1210.5999755859375
2015-04-08,1203.0999755859375
2015-04-09,1193.5999755859375
2015-04-10,1204.5999755859375
2015-04-13,1199.300048828125
2015-04-14,1192.800048828125
2015-04-15,1201.5
2015-04-16,1198.0
2015-04-17,1202.9000244140625
2015-04-20,1193.5
2015-04-21,1202.9000244140625
2015-04-22,1186.9000244140625
2015-04-23,1194.4000244140625
2015-04-24,1175.199951171875
2015-04-27,1203.300048828125
2015-04-28,1214.0
2015-04-29,1209.800048828125
2015-04-30,1182.4000244140625
2015-05-01,1174.5
2015-05-04,1186.800048828125
2015-05-05,1193.199951171875
2015-05-06,1190.300048828125
2015-05-07,1182.4000244140625
2015-05-08,1189.0999755859375
2015-05-11,1183.199951171875
2015-05-12,1192.5999755859375
2015-05-13,1218.4000244140625
2015-05-14,1225.4000244140625
2015-05-15,1225.5
2015-05-18,1227.800048828125
2015-05-19,1206.9000244140625
2015-05-20,1208.9000244140625
2015-05-21,1204.4000244140625
2015-05-22,1204.300048828125
2015-05-26,1187.199951171875
2015-05-27,1185.9000244140625
2015-05-28,1188.0999755859375
2015-05-29,1189.4000244140625
2015-06-01,1188.300048828125
2015-06-02,1194.0999755859375
2015-06-03,1184.699951171875
2015-06-04,1174.9000244140625
2015-06-05,1167.800048828125
2015-06-08,1173.199951171875
2015-06-09,1177.300048828125
2015-06-10,1186.0999755859375
2015-06-11,1179.9000244140625
2015-06-12,1178.800048828125
2015-06-15,1185.300048828125
2015-06-16,1180.5
2015-06-17,1176.4000244140625
2015-06-18,1201.5
2015-06-19,1201.5
2015-06-22,1183.699951171875
2015-06-23,1176.199951171875
2015-06-24,1172.5999755859375
2015-06-25,1171.5
2015-06-26,1172.9000244140625
2015-06-29,1178.5
2015-06-30,1171.5
2015-07-01,1169.0
2015-07-02,1163.0
2015-07-06,1172.9000244140625
2015-07-07,1152.4000244140625
2015-07-08,1163.300048828125
2015-07-09,1159.0
2015-07-10,1157.699951171875
2015-07-13,1155.199951171875
2015-07-14,1153.300048828125
2015-07-15,1147.199951171875
2015-07-16,1143.800048828125
2015-07-17,1131.800048828125
2015-07-20,1106.699951171875
2015-07-21,1103.4000244140625
2015-07-22,1091.4000244140625
2015-07-23,1094.0
2015-07-24,1085.5999755859375
2015-07-27,1096.5
2015-07-28,1096.300048828125
2015-07-29,1092.699951171875
2015-07-30,1088.4000244140625
2015-07-31,1094.9000244140625
