Date,^AXJO
2015-10-06,5197.89990234375
2015-10-07,5210.39990234375
2015-10-08,5279.7001953125
2015-10-11,5232.89990234375
2015-10-12,5202.89990234375
2015-10-13,5197.2998046875
2015-10-14,5230.0
2015-10-15,5268.2001953125
2015-10-18,5269.7001953125
2015-10-19,5235.60009765625
2015-10-20,5248.2998046875
2015-10-21,5263.7998046875
2015-10-22,5351.60009765625
2015-10-25,5348.0
2015-10-26,5346.2001953125
2015-10-27,5335.2001953125
2015-10-28,5266.89990234375
2015-10-29,5239.39990234375
2015-11-01,5165.7998046875
2015-11-02,5239.2001953125
2015-11-03,5242.2998046875
2015-11-04,5193.0
2015-11-05,5215.0
2015-11-08,5119.5
2015-11-09,5099.2001953125
2015-11-10,5122.60009765625
2015-11-11,5125.7001953125
2015-11-12,5051.2998046875
2015-11-15,5003.7998046875
2015-11-16,5118.2001953125
2015-11-17,5133.10009765625
2015-11-18,5242.60009765625
2015-11-19,5256.10009765625
2015-11-22,5276.39990234375
2015-11-23,5226.39990234375
2015-11-24,5193.7001953125
2015-11-25,5210.7001953125
2015-11-26,5202.60009765625
2015-11-29,5166.5
2015-11-30,5266.10009765625
2015-12-01,5258.2998046875
2015-12-02,5227.7001953125
2015-12-03,5151.60009765625
2015-12-06,5155.7001953125
2015-12-07,5108.60009765625
2015-12-08,5080.5
2015-12-09,5037.7001953125
2015-12-10,5029.5
2015-12-13,4928.60009765625
2015-12-14,4909.60009765625
2015-12-15,5028.39990234375
2015-12-16,5102.0
2015-12-17,5106.7001953125
2015-12-20,5109.0
2015-12-21,5116.7001953125
2015-12-22,5141.7998046875
2015-12-23,5207.60009765625
2015-12-28,5267.2998046875
2015-12-29,5319.89990234375
2015-12-30,5295.89990234375
2016-01-03,5270.5
2016-01-04,5184.39990234375
2016-01-05,5123.10009765625
2016-01-06,5010.2998046875
2016-01-07,4990.7998046875
2016-01-10,4932.2001953125
2016-01-11,4925.10009765625
2016-01-12,4987.39990234375
2016-01-13,4909.39990234375
2016-01-14,4892.7998046875
2016-01-17,4858.7001953125
2016-01-18,4903.10009765625
2016-01-19,4841.5
2016-01-20,4864.0
2016-01-21,4916.0
2016-01-24,5006.60009765625
2016-01-26,4946.39990234375
2016-01-27,4976.2001953125
2016-01-28,5005.5
2016-01-31,5043.60009765625
2016-02-01,4993.2998046875
2016-02-02,4876.7998046875
