Date,^STOXX50E
2015-01-05,3023.139892578125
2015-01-06,3007.909912109375
2015-01-07,3026.7900390625
2015-01-08,3135.080078125
2015-01-09,3042.89990234375
2015-01-12,3084.179931640625
2015-01-13,3133.860107421875
2015-01-14,3089.669921875
2015-01-15,3157.360107421875
2015-01-16,3202.239990234375
2015-01-19,3220.89990234375
2015-01-20,3244.919921875
2015-01-21,3269.72998046875
2015-01-22,3322.64990234375
2015-01-23,3382.550048828125
2015-01-26,3414.280029296875
2015-01-27,3372.580078125
2015-01-28,3358.9599609375
2015-01-29,3371.830078125
2015-01-30,3351.43994140625
2015-02-02,3370.110107421875
2015-02-03,3414.179931640625
2015-02-04,3415.530029296875
2015-02-05,3408.9599609375
2015-02-06,3398.159912109375
2015-02-09,3347.75
2015-02-10,3383.1298828125
2015-02-11,3374.139892578125
2015-02-12,3417.610107421875
2015-02-13,3447.590087890625
2015-02-16,3433.300048828125
2015-02-17,3438.43994140625
2015-02-18,3465.800048828125
2015-02-19,3488.080078125
2015-02-20,3490.530029296875
2015-02-23,3519.580078125
2015-02-24,3547.10009765625
2015-02-25,3541.780029296875
2015-02-26,3574.93994140625
2015-02-27,3599.0
2015-03-02,3591.090087890625
2015-03-03,3549.110107421875
2015-03-04,3583.43994140625
2015-03-05,3618.2099609375
2015-03-06,3617.6201171875
2015-03-09,3610.280029296875
2015-03-10,3567.25
2015-03-11,3649.5400390625
2015-03-12,3641.320068359375
2015-03-13,3656.2099609375
2015-03-16,3706.75
2015-03-17,3672.159912109375
2015-03-18,3668.52001953125
2015-03-19,3670.72998046875
2015-03-20,3726.070068359375
2015-03-23,3699.0400390625
2015-03-24,3731.35009765625
2015-03-25,3684.0400390625
2015-03-26,3669.7900390625
2015-03-27,3679.030029296875
2015-03-30,3727.800048828125
2015-03-31,3697.3798828125
2015-04-01,3714.889892578125
2015-04-02,3715.27001953125
2015-04-07,3768.719970703125
2015-04-08,3742.6298828125
2015-04-09,3781.7900390625
2015-04-10,3816.760009765625
2015-04-13,3828.780029296875
2015-04-14,3784.530029296875
2015-04-15,3803.550048828125
2015-04-16,3751.719970703125
2015-04-17,3674.050048828125
2015-04-20,3718.0400390625
2015-04-21,3719.3798828125
2015-04-22,3724.489990234375
2015-04-23,3697.8798828125
2015-04-24,3713.9599609375
2015-04-27,3771.449951171875
2015-04-28,3715.419921875
2015-04-29,3617.110107421875
2015-04-30,3615.590087890625
2015-05-04,3632.93994140625
2015-05-05,3546.56005859375
2015-05-06,3558.030029296875
2015-05-07,3556.2099609375
2015-05-08,3649.47998046875
2015-05-11,3624.409912109375
2015-05-12,3573.10009765625
2015-05-13,3553.419921875
2015-05-15,3573.070068359375
2015-05-18,3589.219970703125
2015-05-19,3670.52001953125
2015-05-20,3683.47998046875
2015-05-21,3688.719970703125
2015-05-22,3679.139892578125
2015-05-26,3619.300048828125
2015-05-27,3682.8701171875
2015-05-28,3650.7099609375
2015-05-29,3570.780029296875
2015-06-01,3575.0400390625
2015-06-02,3561.889892578125
2015-06-03,3583.820068359375
2015-06-04,3556.3798828125
2015-06-05,3510.010009765625
2015-06-08,3468.31005859375
2015-06-09,3456.7900390625
2015-06-10,3526.47998046875
2015-06-11,3551.909912109375
2015-06-12,3502.77001953125
2015-06-15,3438.070068359375
2015-06-16,3454.090087890625
2015-06-17,3428.760009765625
2015-06-18,3450.449951171875
2015-06-19,3455.800048828125
2015-06-22,3596.070068359375
2015-06-23,3625.969970703125
2015-06-24,3610.949951171875
2015-06-25,3610.909912109375
2015-06-26,3621.3701171875
2015-06-29,3468.89990234375
2015-06-30,3424.300048828125
2015-07-01,3496.280029296875
2015-07-02,3463.25
2015-07-03,3441.760009765625
2015-07-06,3365.199951171875
2015-07-07,3294.18994140625
2015-07-08,3327.5
2015-07-09,3420.030029296875
2015-07-10,3528.81005859375
2015-07-13,3590.429931640625
2015-07-14,3607.18994140625
2015-07-15,3623.8701171875
2015-07-16,3676.409912109375
2015-07-17,3670.340087890625
2015-07-20,3686.580078125
2015-07-21,3647.9599609375
2015-07-22,3635.580078125
2015-07-23,3634.639892578125
2015-07-24,3600.0
2015-07-27,3513.10009765625
2015-07-28,3554.110107421875
2015-07-29,3575.530029296875
2015-07-30,3583.7900390625
2015-07-31,3600.68994140625
2015-08-03,3635.39990234375
2015-08-04,3619.31005859375
2015-08-05,3676.75
2015-08-06,3668.469970703125
2015-08-07,3637.800048828125
2015-08-10,3674.93994140625
2015-08-12,3484.409912109375
2015-08-17,3497.89990234375
2015-08-19,3429.840087890625
2015-08-20,3353.47998046875
2015-08-21,3247.260009765625
2015-08-24,3073.389892578125
2015-08-25,3218.010009765625
2015-08-26,3170.72998046875
2015-08-27,3280.780029296875
2015-08-28,3286.590087890625
2015-08-31,3269.6298828125
2015-09-01,3188.72998046875
2015-09-02,3198.860107421875
2015-09-03,3270.090087890625
2015-09-04,3180.25
2015-09-07,3197.969970703125
2015-09-08,3233.840087890625
2015-09-10,3221.139892578125
2015-09-11,3187.93994140625
2015-09-14,3175.6201171875
2015-09-15,3207.60009765625
2015-09-16,3251.7900390625
2015-09-17,3255.7900390625
2015-09-18,3157.300048828125
2015-09-22,3076.050048828125
2015-09-23,3079.989990234375
2015-09-24,3019.340087890625
2015-09-25,3113.159912109375
2015-09-28,3039.43994140625
2015-09-29,3029.860107421875
2015-09-30,3100.669921875
2015-10-01,3069.050048828125
2015-10-02,3088.179931640625
2015-10-05,3190.389892578125
2015-10-06,3220.090087890625
2015-10-07,3226.39990234375
2015-10-08,3224.9599609375
